Issue Type,Summary,Description,Epic Name,Epic Link,Story Points,Priority,Status,Labels
Task,Разрезалка листов на отдельные ассеты,"Заливка фона от рамки, поиск связных объектов, обрезка вплотную. Приемка: 128 объектов вырезано, фон прозрачный.",,Арт-конвейер,5,Highest,Done,art
Task,Починить выедание бирюзы заливкой фона,"Проверка фона путала бирюзовый корпус с зеленым фоном и выедала здания изнутри. Приемка: купола и стекла целые на пурпурной подложке.",,Арт-конвейер,3,Highest,Done,art
Task,Галерея вырезанных ассетов для приемки,"Одна страница со всеми объектами и переключателем фона. Приемка: владелец может проверить резку глазами.",,Арт-конвейер,2,High,Done,art
Task,Импорт спрайтов в Unity с пивотом в основании,"Тип Sprite, пивот снизу по центру, единый масштаб по высоте. Приемка: здания стоят на клетке, не висят над ней.",,Арт-конвейер,2,Highest,Done,art
Task,Перекраска ассетов по типам зданий,"Сдвиг тона и насыщенности скриптом, без перерисовки. Приемка: склады синие, заводы красные, кремовое не сливается с песком.",,Арт-конвейер,3,Medium,To Do,art
Task,Дорезать недостающие здания,"Купол-оранжерея и жилые модули в едином стиле. Приемка: каждый тип зданий игры имеет ассет.",,Арт-конвейер,2,High,To Do,art
Task,Изометрическая раскладка с сортировкой по оси Y,"Ось прозрачности 0-1-0, порядок по экранной высоте. Приемка: ближние здания перекрывают дальние.",,Мир и сцена,3,Highest,Done,scene
Task,Тайлы марсианской поверхности под зданиями,"Ромбовидные тайлы песка, камня и льда, стыкуются краями. Приемка: здания стоят на земле, а не на заливке.",,Мир и сцена,3,High,To Do,scene
Task,Плотность застройки как в референсе,"Расстояния между зданиями по эталонному кадру колонии. Приемка: между объектами нет пустых полей.",,Мир и сцена,2,Medium,To Do,scene
Task,Камера с зумом и перетаскиванием,"Колесо и палец, ограничение по границам карты. Приемка: карта двигается и не уезжает за край.",,Мир и сцена,5,High,To Do,scene
Task,Тап по зданию открывает механику,"Коллайдеры по силуэту, маршрутизация к экрану. Приемка: клик по куполу открывает грядки, по складу — склад.",,Мир и сцена,3,High,To Do,scene
Task,Бейджи состояния на зданиях,"Таймер, готовность, ожидание сырья прямо на объекте. Приемка: состояние видно без единого тапа.",,Мир и сцена,3,High,To Do,scene
Task,Перенести конфиг игры на C#,"Товары, цены, время производства, уровни, строй-модули. Приемка: числа совпадают с каркасом, тест расхождения зеленый.",,Доменный слой,5,Highest,To Do,domain
Task,Перенести производство,"Грядки, фабрики, очередь, XP за сбор. Приемка: тесты производства зеленые.",,Доменный слой,5,Highest,To Do,domain
Task,Перенести склад,"Резерв, лимит, блокировка переполнения все-или-ничего. Приемка: тесты склада зеленые, докупка не проходит через склад.",,Доменный слой,3,Highest,To Do,domain
Task,Перенести дрона,"Генератор заказов, погрузка, отправка, выброс, платный рефреш. Приемка: тесты зеленые, инвариант И-8 соблюден.",,Доменный слой,5,Highest,To Do,domain
Task,Перенести шаттла и стройку,"Отсеки, авто-старт рейса, дроп-роллер с pity и гарантией, расход модулей. Приемка: тесты зеленые, И-1 и И-11 соблюдены.",,Доменный слой,8,Highest,To Do,domain
Task,Запуск тестов из терминала,"Unity Test Framework в batch-режиме с XML-отчетом. Приемка: падение теста дает ненулевой код возврата.",,Доменный слой,3,Highest,To Do,domain
Task,Экран грядок,"Посев за кредиты, рост по таймеру, сбор с XP, три стадии спрайта. Приемка: цикл проходится кликами.",,Механики в интерфейсе,5,High,To Do,ui
Task,Экран склада,"Список товаров, продажа, лимит, кнопка апгрейда. Приемка: продажа дает кредиты, переполнение блокирует сбор.",,Механики в интерфейсе,3,High,To Do,ui
Task,Доска заказов дрона,"Карточки NPC, подсветка выполнимых, погрузка, отправка. Приемка: заказ отправляется, кредиты приходят.",,Механики в интерфейсе,5,High,To Do,ui
Task,Станция шаттла,"Лента отсеков, погрузка, рейс с таймером, экран прибытия. Приемка: рейс стартует сам по закрытии последнего отсека.",,Механики в интерфейсе,5,High,To Do,ui
Task,Экран стройки,"Рецепты из модулей, чек-лист нехватки, старт и завершение. Приемка: модули тратятся, емкость склада растет.",,Механики в интерфейсе,3,High,To Do,ui
Task,Отклик на тап,"Подскок и вспышка объекта при нажатии. Приемка: каждый тап отвечает движением в пределах 150 мс.",,Ощущение,3,Medium,To Do,juice
Task,Вылетающие числа и полет ресурсов,"Иконки урожая летят по дуге на склад, над объектом всплывает прирост. Приемка: сбор виден глазом без чтения интерфейса.",,Ощущение,3,Medium,To Do,juice
Task,Звук действий,"Тап, сбор, левелап, ошибка. Приемка: каждое действие звучит.",,Ощущение,2,Medium,To Do,juice
Task,Обучение до второго уровня,"Четыре шага: подсветка грядки, укороченный первый цикл, форсированная продажа, попап левелапа. Приемка: браузерный тест проходит путь только кликами.",,Обучение,5,High,To Do,ftue
Task,Выложить сборку и получить ссылку,"Хостинг статики, проверка с телефона. Приемка: ссылка открывается меньше чем за пять секунд, вес до 25 МБ.",,Публикация,3,High,To Do,release
